300376,4,0,Rainbow (6 Suits),florrat2,Libster,NoMercy,sjdrodge
300370,4,0,Rainbow (6 Suits),florrat2,Libster,NoMercy,sjdrodge
295744,5,25,No Variant,Fireheart,Floriman,NoMercy,sin_faith,Zamiel
295742,5,0,No Variant,Fireheart,Floriman,NoMercy,sin_faith,Zamiel
295739,5,0,No Variant,Fireheart,Floriman,NoMercy,sin_faith,Zamiel
295738,5,0,No Variant,Fireheart,Floriman,NoMercy,sin_faith,Zamiel
295736,4,25,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295733,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295730,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295729,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295726,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295725,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295724,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295721,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295718,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295717,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295716,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295715,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295714,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295713,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295712,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295711,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295710,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295704,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295702,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295701,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295700,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295699,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295698,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295696,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295695,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295693,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295691,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295690,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295689,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295688,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295687,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295685,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295684,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295682,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295681,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295680,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295679,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295676,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295674,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295671,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
295669,4,0,No Variant,Fireheart,NoMercy,sin_faith,Zamiel
285144,5,24,No Variant,florrat2,Libster,NoMercy,sjdrodge,Zamiel
285059,5,24,No Variant,florrat2,Libster,NoMercy,sjdrodge,Zamiel
284996,5,24,No Variant,florrat2,Libster,NoMercy,sjdrodge,Zamiel
281594,5,25,No Variant,florrat2,Libster,NoMercy,sjdrodge,Zamiel
281557,5,25,No Variant,florrat2,Libster,NoMercy,sjdrodge,Zamiel
281505,5,21,No Variant,florrat2,Libster,NoMercy,sjdrodge,Zamiel
280764,5,25,No Variant,florrat2,Libster,NoMercy,sjdrodge,Zamiel
280693,5,0,No Variant,florrat2,Libster,NoMercy,sjdrodge,Zamiel
280641,4,0,No Variant,florrat2,Libster,NoMercy,sjdrodge
280605,4,0,No Variant,florrat2,Libster,NoMercy,sjdrodge
280083,5,0,Up or Down (5 Suits),asaelr,Fireheart,joelwool,NoMercy,sephiroth
280081,5,0,Up or Down (5 Suits),asaelr,Fireheart,joelwool,NoMercy,sephiroth
280080,5,0,Up or Down (5 Suits),asaelr,joelwool,NoMercy,sephiroth,swineherd
279135,5,0,No Variant,florrat2,Libster,NoMercy,sjdrodge,Zamiel
279063,5,25,No Variant,florrat2,Libster,NoMercy,sjdrodge,Zamiel
279033,5,0,No Variant,florrat2,Libster,NoMercy,sjdrodge,Zamiel
279016,5,0,No Variant,florrat2,Libster,NoMercy,sjdrodge,Zamiel
278999,5,0,No Variant,florrat2,Libster,NoMercy,sjdrodge,Zamiel
278986,5,0,No Variant,florrat2,Libster,NoMercy,sjdrodge,Zamiel
278967,5,0,No Variant,florrat2,Libster,NoMercy,sjdrodge,Zamiel
278944,5,0,No Variant,florrat2,Libster,NoMercy,sjdrodge,Zamiel
277355,4,29,Rainbow (6 Suits),Fireheart,NoMercy,robense,sephiroth
277297,4,25,Black (5 Suits),Bonja97,Fey,NoMercy,piper
277274,4,0,Black (5 Suits),Bonja97,Fey,NoMercy,piper
277267,4,0,Black (5 Suits),Bonja97,Fey,NoMercy,piper
276864,3,22,Light Pink & Dark Pink (5 Suits),joelwool,NoMercy,Pablo-
276822,3,0,Light Pink & Dark Pink (5 Suits),joelwool,NoMercy,Pablo-
